年月,CPI前年同月比,完全失業率
2023-04-01,3.5467980295566415,2.6
2023-05-01,3.241650294695475,2.5
2023-06-01,3.3398821218074692,2.5
2023-07-01,3.3235581622678367,2.6
2023-08-01,3.1158714703018564,2.6
2023-09-01,3.0067895247332777,2.6
2023-10-01,3.2786885245901454,2.5
2023-11-01,2.887391722810384,2.6
2023-12-01,2.5936599423631135,2.5
2024-01-01,2.1012416427889313,2.5
2024-02-01,2.7884615384615508,2.6
2024-03-01,2.6819923371647514,2.6
2024-04-01,2.4738344433872683,2.6
2024-05-01,2.8544243577545148,2.6
2024-06-01,2.851711026615966,2.5
2024-07-01,2.7436140018921362,2.7
2024-08-01,3.0217186024551257,2.5
2024-09-01,2.5423728813559254,2.4
2024-10-01,2.2408963585434316,2.5
2024-11-01,2.8999064546304965,2.5
2024-12-01,3.6516853932584414,2.5
2025-01-01,4.022450888681006,2.5
2025-02-01,3.648269410664162,2.4
2025-03-01,3.6380597014925353,2.5
2025-04-01,3.52831940575673,2.5
2025-05-01,3.422756706753005,2.5
2025-06-01,3.2347504621072165,2.5
2025-07-01,3.0386740331491913,2.4
2025-08-01,2.7497708524289566,2.6
2025-09-01,2.846648301193744,2.6
2025-10-01,3.013698630136985,2.6
2025-11-01,2.9090909090909056,2.6
2025-12-01,2.0776874435411097,2.6
2026-01-01,1.5287769784172678,2.7
2026-02-01,1.2635379061371799,2.6
2026-03-01,1.4401440144014455,2.7
2026-04-01,1.3452914798206317,2.5
